book_id,title,death_year,extent_bytes,category,matched_keywords
49917,St John Damascene on Holy Images (πρὸς τοὺς διαβάλλοντας τᾶς ἁγίας εἰκόνας). Followed by Three Sermons on the Assumption (κοίμησις),749,358827,other,
4998,The Notebooks of Leonardo Da Vinci — Volume 1,1519,623238,other,
4999,The Notebooks of Leonardo Da Vinci — Volume 2,1519,825605,other,
5000,The Notebooks of Leonardo Da Vinci — Complete,1519,1433977,natphil,physics
50040,St. Benedict's Rule for Monasteries,547,149107,other,
50155,Cathay,762,43477,other,
50307,Fifteen sonnets of Petrarch,1374,54983,other,
50457,"The Luzumiyat of Abu'l-Ala
Selected from his Luzum ma la Yalzam and Suct us-Zand",1057,89526,other,
50619,"The Sufism of the Rubáiyát, or, the Secret of the Great Paradox",1122,83015,other,
5063,The Iphigenia in Tauris of Euripides,-406,131711,other,
50692,"Cicero: Letters to Atticus, Vol. 2 of 3",-43,722493,other,
50778,"William of Malmesbury's Chronicle of the Kings of England
From the earliest period to the reign of King Stephen",1143,1401353,other,
50839,"The chronicles of Enguerrand de Monstrelet, Vol. 01 [of 13] : $b containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",1453,590367,other,
51002,"Korean folk tales : $b Imps, ghosts and fairies",1498,279091,other,
51099,"Amadis of Gaul, Vol. 2",1403,470558,other,
51355,"The Iliads of Homer
Translated according to the Greek",-650,1012265,other,
51403,"Cicero: Letters to Atticus, Vol. 3 of 3",-43,778296,other,
51732,"The Vision of Dante: A story for little children and a talk to their mothers
(Second Edition)",1321,47363,other,
5218,The Satyricon — Volume 01: Introduction,66,112622,other,
5219,The Satyricon — Volume 02: Dinner of Trimalchio,66,128584,other,
5220,The Satyricon — Volume 03: Encolpius and His Companions,66,66513,other,
5221,The Satyricon — Volume 04 : Escape by Sea,66,102330,other,
5222,The Satyricon — Volume 05: Crotona Affairs,66,78150,other,
5223,The Satyricon — Volume 06: Editor's Notes,66,142347,other,
5224,The Satyricon — Volume 07: Marchena Notes,66,85884,other,
5225,The Satyricon — Complete,66,602140,other,
52607,"The chronicles of Enguerrand de Monstrelet, Vol. 02 [of 13] : $b containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",1453,433785,other,
52617,"The Decameron (Day 1 to Day 5)
Containing an hundred pleasant Novels",1375,1198957,other,
52618,"The Decameron (Day 6 to Day 10)
Containing an hundred pleasant Novels",1375,987836,other,
52889,"The chronicles of Enguerrand de Monstrelet, Vol. 04 [of 13] : $b containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",1453,463751,other,
52911,"The Chronicles of Enguerrand de Monstrelet, Vol. 03 [of 13] : $b containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",1453,433040,other,
52941,"Amadis of Gaul, Vol. 3",1403,441285,other,
53174,Æschylos Tragedies and Fragments,-456,699002,other,
